"FECHA_CORTE,""FECHA_EMISION"",""MES_FACTURACION"",""COD_EMPRESA"",""RAZON_SOCIAL"",""GRUPO"",""COD_SIS_ELECTR"",""COD_TARIFA"",""ATARIFA"",""USO"",""SUMINISTROS"",""PROMEDIO_CONSUMO"""
"20250306,""20220131"",""202201"",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0263,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,240,61"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,53,BT5E (1E) - Residencial de 101 a 150 kW.h                                                                                                             ,Residencial,534,125"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,164"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1693,6"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,204,68"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,64,8"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,8118,214"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,13,132"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,2,82"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,""1E-BT No Residencial                                                                                                                                  "",Comercial,6310,589"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,7342,377"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,863"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,11,197"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,14"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,15,132"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,2,76"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,22,""1E-BT No Residencial                                                                                                                                  "",Comercial,1,0"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,726,382"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,50,""1E-BT No Residencial                                                                                                                                  "",Comercial,1,370"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,61"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,23,190"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,39,846"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4769,6"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,29649,214"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3968,384"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,50,""1E-BT No Residencial                                                                                                                                  "",Comercial,1,2557"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,765,123"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,45,849"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,""1E-BT No Residencial                                                                                                                                  "",Comercial,1830,498"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,46,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3,422"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,8484,70"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,2,2919"
"20250306,""20220131"",""202201"",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,302"
